epoch (ms),pca_1,pca_2,pca_3,participant,label,category,set,duration
2019-01-11 15:08:05.200,-0.770118446391693,-0.10707720908019089,0.5902701775420934,B,bench,heavy,30,16.8
2019-01-11 15:08:05.400,-0.7537949032875086,-0.2990258107243888,0.43099301359535824,B,bench,heavy,30,16.8
2019-01-11 15:08:05.600,-0.8084221022816291,-0.3194388757480019,0.25112305125900913,B,bench,heavy,30,16.8
2019-01-11 15:08:05.800,-0.8918983679092918,-0.15967685983200988,0.18921899799779307,B,bench,heavy,30,16.8
2019-01-11 15:08:06.000,-0.8754026007915366,-0.2895785013308515,0.32892381538001564,B,bench,heavy,30,16.8
2019-01-11 15:08:06.200,-0.7616286341990883,-1.1280347757328753,0.4872230217977309,B,bench,heavy,30,16.8
2019-01-11 15:08:06.400,-0.8013764803576192,-1.9527615570717443,0.4391566787851817,B,bench,heavy,30,16.8
2019-01-11 15:08:06.600,-1.188431528221854,-1.437265972460193,0.2413917351867909,B,bench,heavy,30,16.8
2019-01-11 15:08:06.800,-1.674285568426017,0.22279702094678458,0.13720382903857956,B,bench,heavy,30,16.8
2019-01-11 15:08:07.000,-1.7777684872122292,1.0293690649384402,0.22170224336434474,B,bench,heavy,30,16.8
2019-01-11 15:08:07.200,-1.4457995633137353,-0.09664467323665957,0.35710683807434046,B,bench,heavy,30,16.8
2019-01-11 15:08:07.400,-1.1940305580809474,-1.5570296456410362,0.37518407740947324,B,bench,heavy,30,16.8
2019-01-11 15:08:07.600,-1.4035593756041744,-1.2264614840191732,0.25890796629296087,B,bench,heavy,30,16.8
2019-01-11 15:08:07.800,-1.7642546521123903,0.603487800119397,0.12890555304048698,B,bench,heavy,30,16.8
2019-01-11 15:08:08.000,-1.721622308362059,1.7929632080181281,0.10573798993559728,B,bench,heavy,30,16.8
2019-01-11 15:08:08.200,-1.260072661736549,1.2977534413704135,0.20791971307377016,B,bench,heavy,30,16.8
2019-01-11 15:08:08.400,-0.8563039195245169,0.13225271457215826,0.3540329543495041,B,bench,heavy,30,16.8
2019-01-11 15:08:08.600,-0.7824655252239933,-0.4553605336531804,0.42494163604607993,B,bench,heavy,30,16.8
2019-01-11 15:08:08.800,-0.8724244059230404,-0.3838574315053751,0.3599806707038637,B,bench,heavy,30,16.8
2019-01-11 15:08:09.000,-0.925560619064274,-0.11310093703821478,0.24788462969099986,B,bench,heavy,30,16.8
2019-01-11 15:08:09.200,-0.9245191400457249,0.09060282673775812,0.26245466416760427,B,bench,heavy,30,16.8
2019-01-11 15:08:09.400,-0.8537454022789491,-0.13426011339221333,0.42654779798934506,B,bench,heavy,30,16.8
2019-01-11 15:08:09.600,-0.7037689655946178,-1.05420759531189,0.5319270524964588,B,bench,heavy,30,16.8
2019-01-11 15:08:09.800,-0.6808375504270657,-1.9230281968281315,0.4217352788883252,B,bench,heavy,30,16.8
2019-01-11 15:08:10.000,-1.0178480989630299,-1.509574525245529,0.23766701611437058,B,bench,heavy,30,16.8
2019-01-11 15:08:10.200,-1.5235048193365135,-0.047500727787773644,0.19761212221961477,B,bench,heavy,30,16.8
2019-01-11 15:08:10.400,-1.7099009974590536,0.6552085326421211,0.24526124508507727,B,bench,heavy,30,16.8
2019-01-11 15:08:10.600,-1.4738642887744957,-0.2857707363905497,0.1678439121114391,B,bench,heavy,30,16.8
2019-01-11 15:08:10.800,-1.2856988020006817,-1.4445207620581528,-0.018021469238993622,B,bench,heavy,30,16.8
2019-01-11 15:08:11.000,-1.5170977777335792,-1.021498817911642,-0.0679852867428299,B,bench,heavy,30,16.8
2019-01-11 15:08:11.200,-1.8823508672569766,0.7306686253811537,0.10583614750684028,B,bench,heavy,30,16.8
2019-01-11 15:08:11.400,-1.827706912471694,1.9164828698401755,0.28930056261874404,B,bench,heavy,30,16.8
2019-01-11 15:08:11.600,-1.3047987654837614,1.4341730651864866,0.28525989903289767,B,bench,heavy,30,16.8
2019-01-11 15:08:11.800,-0.8186029124595161,0.15530748357627666,0.1985042256553334,B,bench,heavy,30,16.8
2019-01-11 15:08:12.000,-0.73034006719125,-0.4748925615554458,0.2522779860072673,B,bench,heavy,30,16.8
2019-01-11 15:08:12.200,-0.8604062519417127,-0.282120037313494,0.4359650282548783,B,bench,heavy,30,16.8
2019-01-11 15:08:12.400,-0.8902016460235684,-0.11802772286996766,0.5197656273753531,B,bench,heavy,30,16.8
2019-01-11 15:08:12.600,-0.8348041232597899,-0.2558889194422248,0.3875947825190297,B,bench,heavy,30,16.8
2019-01-11 15:08:12.800,-0.8764250180570126,-0.17791263582303074,0.21133181645778715,B,bench,heavy,30,16.8
2019-01-11 15:08:13.000,-0.9518766562371103,0.0530558860717526,0.23937265675857936,B,bench,heavy,30,16.8
2019-01-11 15:08:13.200,-0.8489388571556129,-0.43597909579328653,0.449843503383603,B,bench,heavy,30,16.8
2019-01-11 15:08:13.400,-0.6629174515825497,-1.6431222596789699,0.5449990630076328,B,bench,heavy,30,16.8
2019-01-11 15:08:13.600,-0.7911258058879396,-2.0817450255666228,0.3774809273005341,B,bench,heavy,30,16.8
2019-01-11 15:08:13.800,-1.3435658534216184,-0.8765766963248047,0.18352948050890772,B,bench,heavy,30,16.8
2019-01-11 15:08:14.000,-1.8625035752328234,0.6369907798498052,0.19589112781290968,B,bench,heavy,30,16.8
2019-01-11 15:08:14.200,-1.8658153934875124,0.6791875550217323,0.2686708491595734,B,bench,heavy,30,16.8
2019-01-11 15:08:14.400,-1.4645186980137153,-0.539057158399689,0.15322485533215147,B,bench,heavy,30,16.8
2019-01-11 15:08:14.600,-1.1942318795977807,-1.4275596089566533,-0.08564257081489393,B,bench,heavy,30,16.8
